Date,NetValue,DailyReturn,StrategyReturn,,,,,,,,,,,,,,,,
2019-05-15,1.00000000,0.00%,0.00%,,,,,,,,,,,,,,,,
2019-05-16,1.00275134,0.28%,0.25%,,,,,,,,,,,,,,,,
